session_id,user_id,timestamp,artist,track,track_len_sec,play_time_sec,replay_count,action,percent_completion,skip_position,hour_of_day,day_of_week,session_position,skip_streak,target_track_vector,user_context_vector_32d,context_cosine_similarity
S_Fallback,U1,2026-03-16 08:00:00,Miles Davis,So What,540,540,0,COMPLETE,1.0,None,8,0,1,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
S_Fallback,U1,2026-03-16 08:04:00,Adele,Rolling in the Deep,228,228,0,COMPLETE,1.0,None,8,0,2,0,"[0.27208602, -0.06424415, 0.13102141, 0.08380929, 0.047281656, -0.011500415, -0.03794211, 0.051393054, 0.17376873, 0.25757772, 0.11840193, 0.07973402, -0.11875971, -0.21326655, 0.2595099, -0.11226602, -0.058303345, -0.061638854, -0.050242286, -0.10801005, -0.11552458, 0.097085536, 0.04139475, -0.08839257, 0.07962464, -0.2567991, 0.088871405, -0.5548556, 0.15302908, -0.18950728, -0.036104325, 0.3638382]","[-0.009576183, -0.02049166, 0.19198653, -0.231597, 0.13736306, -0.31531993, -0.037937526, -0.04322775, 0.20789896, -0.0023267616, -0.11300304, 0.25314888, 0.29688013, -0.12701379, 0.12751052, -0.08258057, 0.029917128, 0.047403224, -0.23504616, 0.011794997, -0.19568324, -0.18232481, -0.08435109, -0.36565304, -0.27208474, 0.042717587, 0.118708275, 0.15703264, -0.08551125, 0.12847853, 0.2889357, 0.21718912]",0.052
S_Fallback,U1,2026-03-16 08:08:00,Queen,Bohemian Rhapsody,354,354,0,COMPLETE,1.0,None,8,0,3,0,"[0.029618518, 0.13323939, -0.108936444, -0.07670602, -0.12415662, -0.028846841, -0.08043422, 0.2384688, -0.26640746, 0.11269897, -0.11946564, -0.03014255, 0.27934697, -0.17317282, 0.009910288, -0.16168053, 0.15599528, -0.1362303, 0.13709556, -0.054453336, 0.29775664, -0.3366357, 0.36625367, 0.088345595, -0.20470631, -0.25641963, 0.06920104, -0.037740454, -0.066629365, 0.25724646, 0.029323721, -0.23872834]","[0.18098854, -0.058421466, 0.22269921, -0.101892866, 0.12730408, -0.22532766, -0.052315537, 0.005629606, 0.2631424, 0.17598386, 0.0037222942, 0.22950752, 0.12280586, -0.23460773, 0.26683286, -0.1343378, -0.019570999, -0.009814819, -0.19669332, -0.06633588, -0.21456355, -0.058768574, -0.029616427, -0.31304368, -0.13269243, -0.14759943, 0.1431167, -0.27428076, 0.046550464, -0.042076543, 0.17431565, 0.40059173]",-0.108
S_Fallback,U1,2026-03-16 08:12:00,Miles Davis,So What,540,540,0,COMPLETE,1.0,None,8,0,4,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.17486235, 0.029033294, 0.12813903, -0.13437757, 0.036206987, -0.21289542, -0.093566425, 0.14763036, 0.06899252, 0.22024766, -0.06827813, 0.18121445, 0.27383104, -0.30734304, 0.23759496, -0.21341017, 0.07638429, -0.09006598, -0.08870536, -0.090187155, -0.008051602, -0.25252613, 0.19351949, -0.21890089, -0.23773603, -0.28163284, 0.16567555, -0.26071978, 0.0005318234, 0.117452085, 0.16889252, 0.20489347]",0.627
S_Fallback,U1,2026-03-16 08:16:00,Adele,Rolling in the Deep,228,228,0,COMPLETE,1.0,None,8,0,5,0,"[0.27208602, -0.06424415, 0.13102141, 0.08380929, 0.047281656, -0.011500415, -0.03794211, 0.051393054, 0.17376873, 0.25757772, 0.11840193, 0.07973402, -0.11875971, -0.21326655, 0.2595099, -0.11226602, -0.058303345, -0.061638854, -0.050242286, -0.10801005, -0.11552458, 0.097085536, 0.04139475, -0.08839257, 0.07962464, -0.2567991, 0.088871405, -0.5548556, 0.15302908, -0.18950728, -0.036104325, 0.3638382]","[0.1164554, 0.011545262, 0.16735896, -0.18798022, 0.08154539, -0.27655086, -0.08006174, 0.083835006, 0.13319176, 0.15069354, -0.09358801, 0.22911268, 0.31090832, -0.26397187, 0.21615122, -0.18098056, 0.06492525, -0.04247785, -0.157954, -0.057237405, -0.08619585, -0.24902415, 0.098482974, -0.30143106, -0.2758354, -0.17631328, 0.1630029, -0.114797965, -0.034877725, 0.13382527, 0.23537807, 0.23059598]",0.392
S_Fallback,U1,2026-03-16 08:20:00,Miles Davis,So What,540,540,0,COMPLETE,1.0,None,8,0,6,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.18708137, -0.012221255, 0.18115872, -0.12557179, 0.08268412, -0.23020531, -0.078319654, 0.0859447, 0.16761546, 0.21020778, -0.03665403, 0.21439786, 0.2143859, -0.2879672, 0.26442936, -0.1859802, 0.033468198, -0.055554405, -0.14621471, -0.083274625, -0.109508574, -0.17105135, 0.09455997, -0.27650297, -0.198883, -0.23091207, 0.1633764, -0.28110406, 0.02307368, 0.045599688, 0.18045272, 0.31144106]",0.708
S_Fallback,U1,2026-03-16 08:24:00,Miles Davis,So What,540,540,0,COMPLETE,1.0,None,8,0,7,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.18708137, -0.012221256, 0.18115872, -0.1255718, 0.08268413, -0.23020537, -0.07831966, 0.08594472, 0.16761547, 0.21020778, -0.036654036, 0.21439788, 0.21438594, -0.2879672, 0.2644294, -0.18598025, 0.033468205, -0.05555441, -0.14621474, -0.08327463, -0.10950858, -0.17105137, 0.09455997, -0.27650297, -0.19888301, -0.2309121, 0.16337642, -0.2811041, 0.02307368, 0.04559969, 0.18045273, 0.3114411]",0.708
S_Fallback,U1,2026-03-16 08:28:00,Daft Punk,Get Lucky,240,240,0,COMPLETE,1.0,None,8,0,8,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.082370535, 0.0022692399, 0.18045999, -0.20750983, 0.10115092, -0.29761818, -0.07006302, 0.048333906, 0.16024682, 0.10962473, -0.102617, 0.2441273, 0.31720802, -0.23158738, 0.19672647, -0.15741947, 0.056561034, -0.016795259, -0.1865676, -0.038345918, -0.12215376, -0.23733386, 0.046649095, -0.33102167, -0.28404817, -0.116193704, 0.15515906, -0.03666208, -0.051337957, 0.13674551, 0.25951302, 0.2343624]",0.92
S_Fallback,U1,2026-03-16 08:32:00,Miles Davis,So What,540,540,0,COMPLETE,1.0,None,8,0,9,0,"[-0.009576182, -0.020491658, 0.19198652, -0.23159699, 0.13736305, -0.3153199, -0.037937522, -0.043227747, 0.20789894, -0.0023267614, -0.11300303, 0.25314885, 0.2968801, -0.12701377, 0.1275105, -0.08258056, 0.029917127, 0.04740322, -0.23504615, 0.011794996, -0.19568323, -0.1823248, -0.084351085, -0.365653, -0.2720847, 0.042717583, 0.11870827, 0.15703262, -0.085511245, 0.12847851, 0.28893566, 0.2171891]","[0.056020796, -0.035036355, 0.21541874, -0.20190635, 0.14299476, -0.3049951, -0.045455765, -0.02911923, 0.24091457, 0.059492875, -0.079942696, 0.2617539, 0.25610614, -0.17284966, 0.184407, -0.10605701, 0.0147048775, 0.030666295, -0.23733509, -0.014576651, -0.21524861, -0.15149677, -0.0709325, -0.3716658, -0.24171725, -0.020591037, 0.13507996, 0.017558794, -0.045293704, 0.077737294, 0.26829788, 0.29536548]",0.971
S_Fallback,U1,2026-03-16 08:36:00,Adele,Rolling in the Deep,228,228,0,COMPLETE,1.0,None,8,0,10,0,"[0.27208602, -0.06424415, 0.13102141, 0.08380929, 0.047281656, -0.011500415, -0.03794211, 0.051393054, 0.17376873, 0.25757772, 0.11840193, 0.07973402, -0.11875971, -0.21326655, 0.2595099, -0.11226602, -0.058303345, -0.061638854, -0.050242286, -0.10801005, -0.11552458, 0.097085536, 0.04139475, -0.08839257, 0.07962464, -0.2567991, 0.088871405, -0.5548556, 0.15302908, -0.18950728, -0.036104325, 0.3638382]","[0.056020796, -0.035036355, 0.21541874, -0.20190635, 0.14299476, -0.3049951, -0.045455765, -0.02911923, 0.24091457, 0.059492875, -0.079942696, 0.2617539, 0.25610614, -0.17284966, 0.184407, -0.10605701, 0.0147048775, 0.030666295, -0.23733509, -0.014576651, -0.21524861, -0.15149677, -0.0709325, -0.3716658, -0.24171725, -0.020591037, 0.13507996, 0.017558794, -0.045293704, 0.077737294, 0.26829788, 0.29536548]",0.289
